round;table;elimination;player1;player2;p1points;p2points;game1win;game2win
1;1;0;Scott;Peter;0;4;ap;ap;
1;2;0;KB;Jeff;4;0;ap;ap;
1;3;0;Michael;Jerome;2;2;ap;ap;
1;4;0;Gelman (forfeit);KG;4;0;ap;ap;
2;1;0;KB;Peter;0;4;ap;ap;
2;2;0;Gelman (forfeit);Jerome;0;4;flatline;ap;
2;3;0;Michael;Jeff;4;0;ap;ap;
2;4;0;Scott;KG;3;1;ap;ap;
3;1;0;Peter;Michael;4;0;ap;ap;
3;2;0;Jerome;KB;0;4;ap;ap;
3;3;0;Gelman (forfeit);Scott;1;3;ap;ap;
3;4;0;KG;Jeff;0;4;ap;ap;
4;1;0;Peter;Jerome;2;2;flatline;ap;
4;2;0;KB;Scott;3;0;ap;ap;
4;3;0;Michael;KG;2;2;ap;ap;
4;4;0;Gelman (forfeit);Jeff;0;4;ap;ap;
5;1;0;Peter;Gelman (forfeit);2;2;ap;ap;
5;2;0;KB;Michael;2;2;flatline;ap;
5;3;0;Jerome;KG;2;2;ap;ap;
5;4;0;Scott;Jeff;2;2;ap;ap;
6;1;1;Peter;Gelman (forfeit);1;C;R;ap;
6;2;1;Jerome;Jeff;2;C;R;ap;
6;3;1;KB;KG;1;C;R;ap;
6;4;1;Michael;Scott;1;C;R;ap;
7;1;1;Peter;Jeff;1;R;C;ap;
7;2;1;KB;Michael;1;C;R;ap;
7;3;1;Gelman (forfeit);Jerome;2;R;C;ap;
7;4;1;KG;Scott;2;R;C;flatline;
8;1;1;Peter;KB;2;C;R;ap;
8;2;1;Jerome;Michael;1;R;C;ap;
8;3;1;Scott;Jeff;2;C;R;mill;
9;1;1;Jerome;Jeff;2;R;C;ap;
10;1;1;Jeff;Peter;2;C;R;ap;
11;1;1;KB;Peter;1;R;C;ap;
